0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
14243;;подвальчик;ѕќƒ¬јЋ№„» ;S m inan nom sg;;;Е там такой _подвальчик_ , €;к;и;ч;ь;л;а;S;ѕќƒ¬јЋ№„» ;S m inan nom sg; 
14244;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14245;;€;я;SPRO sg 1p - nom;;;такой подвальчик , _€_ ншла;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14246;"<distinct form=""";;;;;;;;;;;;;;;;
14247;<dist>;ншла;;;;;;;;;;;;;;;
14248;""">";;;;;;;;;;;;;;;;
14249;;нашла;Ќј…“»;V pf praet sg indic f -;;;ншла _нашла_ этот вход;а;л;ш;а;н;;V;Ќј…“»;V pf praet sg indic f -;»
14250;</distinct>;;;;;;;;;;;;;;;;
14251;;этот;Ё“ќ“;APRO - acc sg plen m -;;;нашла _этот_ вход , там;т;о;т;э;;;APRO;Ё“ќ“;A - nom sg plen m -;“
14252;;вход;¬’ќƒ;S m inan acc sg;;;нашла этот _вход_ , там были;д;о;х;в;;;S;¬’ќƒ;S m inan nom sg;ƒ
14253;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14254;;там;“јћ;ADV -;;;этот вход , _там_ были люди ,;м;а;т;;;;ADV;“јћ;ADV -;ћ
14255;;были;Ѕџ“№;V ipf praet pl indic - -;;;вход , там _были_ люди , ну;и;л;ы;б;;;V;Ѕџ“№;V ipf praet pl indic - -;№
14256;;люди;„≈Ћќ¬≈ ;S m anim nom pl;;;, там были _люди_ , ну как бы;и;д;ю;л;;;S;„≈Ћќ¬≈ ;S m anim nom pl; 
14257;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14258;;ну;Ќ”;PART;;;были люди , _ну_ как бы Е €;у;н;;;;;PART;Ќ”;PART;”
14259;;как бы;как бы;PART;;;люди , ну _как бы_ Е € така€;ы;б;;к;а;к;PART;как бы;ADV -;ы
14260;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14261;;€;я;SPRO sg 1p - nom;;;ну как бы Е _€_ така€ Е;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14262;;така€;“ј ќ…;APRO - nom sg plen f -;;;как бы Е € _така€_ Е;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14263;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14264;;;;;;;;;;;;;;;;;
14265;# sent = 1108;;;;;;;;;;;;;;;;
14266;;Ђ;Ђ;PUNCT;;;;;;;;;;PUNCT;;;
14267;;¬ы;¬џ;SPRO pl 2p - nom;;;Ђ _¬ы_ все пришли на;ы;в;;;;;SPRO;¬џ;SPRO pl 2p - nom;џ
14268;;все;¬—≈;S - - nom pl;;;Ђ ¬ы _все_ пришли на концерт;е;с;в;;;;S;¬—≈;S - - acc pl;≈
14269;;пришли;ѕ–»…“»;V pf praet pl indic - -;;;Ђ ¬ы все _пришли_ на концерт ?;и;л;ш;и;р;п;V;ѕ–»…“»;V pf praet pl indic - -;»
14270;;на;Ќј;PR;;;¬ы все пришли _на_ концерт ?;а;н;;;;;PR;Ќј;PR;ј
14271;;концерт; ќЌ÷≈–“;S m inan acc sg;;;все пришли на _концерт_ ?;т;р;е;ц;н;о;S; ќЌ÷≈–“;S m inan acc sg;“
14272;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
14273;;;;;;;;;;;;;;;;;
14274;# sent = 1109;;;;;;;;;;;;;;;;
14275;;“огда;“ќ√ƒј;ADV -;;;? _“огда_ всЄ хорошо ї;а;д;г;о;т;;ADV;“ќ√ƒј;ADV -;ј
14276;;всЄ;¬—≈;S n - nom sg;;;“огда _всЄ_ хорошо ї .;Є;с;в;;;;S;¬—≈;S n - nom sg;≈
14277;;хорошо;’ќ–ќЎќ;ADV -;;;“огда всЄ _хорошо_ ї .;о;ш;о;р;о;х;ADV;’ќ–ќЎќ;ADV -;ќ
14278;;ї;ї;PUNCT;;;;;;;;;;PUNCT;;;
14279;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14280;;;;;;;;;;;;;;;;;
14281;# sent = 1110;;;;;;;;;;;;;;;;
14282;;»;»;CONJ;;;. _»_ € встретила там;и;;;;;;CONJ;»;CONJ;»
14283;;€;я;SPRO sg 1p - nom;;;» _€_ встретила там свою;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14284;;встретила;¬—“–≈“»“№;V pf praet sg indic f -;;;» € _встретила_ там свою одноклассницу;а;л;и;т;е;р;V;¬—“–≈“»“№;V pf praet sg indic f -;№
14285;;там;“јћ;ADV -;;;» € встретила _там_ свою одноклассницу ,;м;а;т;;;;ADV;“јћ;ADV -;ћ
14286;;свою;—¬ќ…;APRO - acc sg plen f -;;;€ встретила там _свою_ одноклассницу , котора€;ю;о;в;с;;;APRO;—¬ќ…;A - acc sg plen f -;…
14287;;одноклассницу;ќƒЌќ Ћј——Ќ»÷ј;S f anim acc sg;;;встретила там свою _одноклассницу_ , котора€;у;ц;и;н;с;с;S;ќƒЌќ Ћј——Ќ»÷ј;S f anim acc sg;ј
14288;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14289;;котора€; ќ“ќ–џ…;APRO - nom sg plen f -;;;свою одноклассницу , _котора€_ ссс;€;а;р;о;т;о;APRO; ќ“ќ–џ…;A - nom sg plen f -;…
14290;"<distinct form=""";;;;;;;;;;;;;;;;
14291;<dist>;ссс;;;;;;;;;;;;;;;
14292;""">";;;;;;;;;;;;;;;;
14293;;с;—;PR;;;ссс _с_ ху;с;;;;;;PR;—;PR;—
14294;</distinct>;;;;;;;;;;;;;;;;
14295;"<distinct form=""";;;;;;;;;;;;;;;;
14296;<dist>;ху;;;;;;;;;;;;;;;
14297;""">";;;;;;;;;;;;;;;;
14298;;художки;’”ƒќ∆ ј;S f inan gen sg;;;ху _художки_ Е ну;и;к;ж;о;д;у;S;’”ƒќ∆ќ ;S f inan nom sg;ј
14299;</distinct>;;;;;;;;;;;;;;;;
14300;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14301;;ну;Ќ”;PART;;;художки Е _ну_ , не одноклассницу;у;н;;;;;PART;Ќ”;PART;”
14302;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14303;;не;Ќ≈;PART;;;Е ну , _не_ одноклассницу , она;е;н;;;;;PART;Ќ≈;PART;≈
14304;;одноклассницу;ќƒЌќ Ћј——Ќ»÷ј;S f anim acc sg;;;ну , не _одноклассницу_ , она с;у;ц;и;н;с;с;S;ќƒЌќ Ћј——Ќ»÷ј;S f anim acc sg;ј
14305;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14306;;она;ќЌј;SPRO sg 3p f nom;;;не одноклассницу , _она_ с художки ,;а;н;о;;;;SPRO;ќЌј;SPRO sg 3p f nom;ј
14307;;с;—;PR;;;одноклассницу , она _с_ художки ,;с;;;;;;PR;—;PR;—
14308;;художки;’”ƒќ∆ ј;S f inan gen sg;;;, она с _художки_ , ссс;и;к;ж;о;д;у;S;’”ƒќ∆ќ ;S f inan ins sg;ј
14309;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14310;"<distinct form=""";;;;;;;;;;;;;;;;
14311;<dist>;ссс;;;;;;;;;;;;;;;
14312;""">";;;;;;;;;;;;;;;;
14313;;с;—;PR;;;ссс _с_ Е;с;;;;;;PR;—;PR;—
14314;</distinct>;;;;;;;;;;;;;;;;
14315;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14316;;;;;;;;;;;;;;;;;
14317;# sent = 1111;;;;;;;;;;;;;;;;
14318;"<distinct form=""";;;;;;;;;;;;;;;;
14319;<dist>;архи;;;;;;;;;;;;;;;
14320;""">";;;;;;;;;;;;;;;;
14321;;архитектуры;ј–’»“≈ “”–ј;S f inan gen sg;;;архи _архитектуры_ Е ну;ы;р;у;т;к;е;S;ј–’»“≈ “”–ј;S f inan gen sg;ј
14322;</distinct>;;;;;;;;;;;;;;;;
14323;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14324;;ну;Ќ”;PART;;;архитектуры Е _ну_ , с художки;у;н;;;;;PART;Ќ”;PART;”
14325;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14326;;с;—;PR;;;Е ну , _с_ художки , с;с;;;;;;PR;—;PR;—
14327;;художки;’”ƒќ∆ќ ;S m inan gen pl;;;ну , с _художки_ , с которыми;и;к;ж;о;д;у;S;’”ƒќ∆ќ ;S m inan acc pl; 
14328;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14329;;с;—;PR;;;с художки , _с_ которыми € заканчивала;с;;;;;;PR;—;PR;—
14330;;которыми; ќ“ќ–џ…;APRO - ins pl plen - -;;;художки , с _которыми_ € заканчивала .;и;м;ы;р;о;т;APRO; ќ“ќ–џ…;A - ins pl plen - -;…
14331;;€;я;SPRO sg 1p - nom;;;, с которыми _€_ заканчивала .;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14332;;заканчивала;«ј јЌ„»¬ј“№;V ipf praet sg indic f -;;;с которыми € _заканчивала_ .;а;л;а;в;и;ч;V;«ј јЌ„»¬ј“№;V ipf praet sg indic f -;№
14333;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14334;;;;;;;;;;;;;;;;;
14335;# sent = 1112;;;;;;;;;;;;;;;;
14336;;ј;ј;CONJ;;;. _ј_ была ещЄ одна;а;;;;;;CONJ;ј;CONJ;ј
14337;;была;Ѕџ“№;V ipf praet sg indic f -;;;ј _была_ ещЄ одна девушка;а;л;ы;б;;;V;Ѕџ“№;V ipf praet sg indic f -;№
14338;;ещЄ;≈ў≈;ADV -;;;ј была _ещЄ_ одна девушка ,;Є;щ;е;;;;ADV;≈ў≈;ADV -;≈
14339;;одна;ќƒ»Ќ;ANUM - nom sg plen f -;;;ј была ещЄ _одна_ девушка , котора€;а;н;д;о;;;ANUM;ќƒ»Ќ;A - nom sg plen f -;Ќ
14340;;девушка;ƒ≈¬”Ў ј;S f anim nom sg;;;была ещЄ одна _девушка_ , котора€ с;а;к;ш;у;в;е;S;ƒ≈¬”Ў ј;S f anim nom sg;ј
14341;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14342;;котора€; ќ“ќ–џ…;APRO - nom sg plen f -;;;одна девушка , _котора€_ с первого Е;€;а;р;о;т;о;APRO; ќ“ќ–џ…;A - nom sg plen f -;…
14343;;с;—;PR;;;девушка , котора€ _с_ первого Е;с;;;;;;PR;—;PR;—
14344;;первого;ѕ≈–¬џ…;ANUM - gen sg plen m -;;;, котора€ с _первого_ Е;о;г;о;в;р;е;A;ѕ≈–¬џ…;A - gen sg plen m -;…
14345;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14346;;;;;;;;;;;;;;;;;
14347;# sent = 1113;;;;;;;;;;;;;;;;
14348;<noindex>[нрзб]</noindex>;;;;;;;;;;;;;;;;
14349;;с;—;PR;;;_с_ моего с первого;с;;;;;;PR;—;PR;—
14350;;моего;ћќ…;APRO - gen sg plen m -;;;с _моего_ с первого года;о;г;е;о;м;;APRO;ћќ…;A - gen sg plen m -;…
14351;;с;—;PR;;;с моего _с_ первого года архитектуры;с;;;;;;PR;—;PR;—
14352;;первого;ѕ≈–¬џ…;ANUM - gen sg plen m -;;;с моего с _первого_ года архитектуры ,;о;г;о;в;р;е;A;ѕ≈–¬џ…;A - gen sg plen m -;…
14353;;года;√ќƒ;S m inan gen sg;;;моего с первого _года_ архитектуры , котора€;а;д;о;г;;;S;√ќƒ;S m inan gen sg;ƒ
14354;;архитектуры;ј–’»“≈ “”–ј;S f inan gen sg;;;с первого года _архитектуры_ , котора€ Е;ы;р;у;т;к;е;S;ј–’»“≈ “”–ј;S f inan gen sg;ј
14355;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14356;;котора€; ќ“ќ–џ…;APRO - nom sg plen f -;;;года архитектуры , _котора€_ Е ну ,;€;а;р;о;т;о;APRO; ќ“ќ–џ…;A - nom sg plen f -;…
14357;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14358;;ну;Ќ”;PART;;;, котора€ Е _ну_ , где-то уже;у;н;;;;;PART;Ќ”;PART;”
14359;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14360;;где-то;√ƒ≈-“ќ;ADV -;;;Е ну , _где-то_ уже давно работает;о;т;-;е;д;г;ADV;√ƒ≈-“ќ;ADV -;ќ
14361;;уже;”∆≈;ADV -;;;ну , где-то _уже_ давно работает и;е;ж;у;;;;ADV;”∆≈;ADV -;≈
14362;;давно;ƒј¬Ќќ;ADV -;;;, где-то уже _давно_ работает и так;о;н;в;а;д;;ADV;ƒј¬Ќќ;ADV -;ќ
14363;;работает;–јЅќ“ј“№;V ipf praes sg indic - 3p;;;где-то уже давно _работает_ и так далее;т;е;а;т;о;б;V;–јЅќ“ј“№;V ipf praes sg indic - 3p;№
14364;;и;»;CONJ;;;уже давно работает _и_ так далее .;и;;;;;;CONJ;»;CONJ;»
14365;;так;“ј ;ADV -;;;давно работает и _так_ далее .;к;а;т;;;;ADV;“ј ;ADV -; 
14366;;далее;ƒјЋ≈≈;ADV -;;;работает и так _далее_ .;е;е;л;а;д;;ADV;ƒјЋ≈≈;ADV -;≈
14367;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14368;;;;;;;;;;;;;;;;;
14369;# sent = 1114;;;;;;;;;;;;;;;;
14370;;¬от;¬ќ“;PART;;;. _¬от_ , и €;т;о;в;;;;PART;¬ќ“;PART;“
14371;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14372;;и;»;CONJ;;;¬от , _и_ € еЄ там;и;;;;;;CONJ;»;CONJ;»
14373;;€;я;SPRO sg 1p - nom;;;¬от , и _€_ еЄ там встретила;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14374;;еЄ;ќЌј;SPRO sg 3p f acc;;;, и € _еЄ_ там встретила на;Є;е;;;;;SPRO;ќЌј;SPRO sg 3p f acc;ј
14375;;там;“јћ;ADV -;;;и € еЄ _там_ встретила на концерте;м;а;т;;;;ADV;“јћ;ADV -;ћ
14376;;встретила;¬—“–≈“»“№;V pf praet sg indic f -;;;€ еЄ там _встретила_ на концерте ,;а;л;и;т;е;р;V;¬—“–≈“»“№;V pf praet sg indic f -;№
14377;;на;Ќј;PR;;;еЄ там встретила _на_ концерте , она;а;н;;;;;PR;Ќј;PR;ј
14378;;концерте; ќЌ÷≈–“;S m inan loc sg;;;там встретила на _концерте_ , она;е;т;р;е;ц;н;S; ќЌ÷≈–“;S m inan loc sg;“
14379;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14380;;она;ќЌј;SPRO sg 3p f nom;;;на концерте , _она_ мнь;а;н;о;;;;SPRO;ќЌј;SPRO sg 3p f nom;ј
14381;"<distinct form=""";;;;;;;;;;;;;;;;
14382;<dist>;мнь;;;;;;;;;;;;;;;
14383;""">";;;;;;;;;;;;;;;;
14384;;мне;я;SPRO sg 1p - dat;;;мнь _мне_ сказала :;е;н;м;;;;SPRO;я;SPRO sg 1p - dat;я
14385;</distinct>;;;;;;;;;;;;;;;;
14386;;сказала;— ј«ј“№;V pf praet sg indic f -;;;мне _сказала_ : Ђ ќй;а;л;а;з;а;к;V;— ј«ј“№;V pf praet sg indic f -;№
14387;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
14388;;Ђ;Ђ;PUNCT;;;;;;;;;;PUNCT;;;
14389;;ќй;ќ…;INTJ;;;сказала : Ђ _ќй_ , € вот;й;о;;;;;INTJ;ќ…;INTJ;…
14390;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14391;;€;я;SPRO sg 1p - nom;;;Ђ ќй , _€_ вот ходила там;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14392;;вот;¬ќ“;PART;;;ќй , € _вот_ ходила там Е;т;о;в;;;;PART;¬ќ“;PART;“
14393;;ходила;’ќƒ»“№;V ipf praet sg indic f -;;;, € вот _ходила_ там Е;а;л;и;д;о;х;V;’ќƒ»“№;V ipf praet sg indic f -;№
14394;;там;“јћ;PARENTH;;;€ вот ходила _там_ Е;м;а;т;;;;ADV;“јћ;ADV -;ћ
14395;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14396;;;;;;;;;;;;;;;;;
14397;# sent = 1115;;;;;;;;;;;;;;;;
14398;"<distinct form=""";;;;;;;;;;;;;;;;
14399;<dist>;чЄ-то;;;;;;;;;;;;;;;
14400;""">";;;;;;;;;;;;;;;;
14401;;что-то;„“ќ-“ќ;SPRO n inan nom sg;;;чЄ-то _что-то_ Е раза;о;т;-;о;т;ч;SPRO;„“ќ-“ќ;S n - acc sg;ќ
14402;</distinct>;;;;;;;;;;;;;;;;
14403;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14404;;раза;–ј«;S m inan gen sg;;;что-то Е _раза_ четыре или п€ть;а;з;а;р;;;S;–ј«;S m inan gen sg;«
14405;;четыре;„≈“џ–≈;NUM nom - -;;;Е раза _четыре_ или п€ть на;е;р;ы;т;е;ч;NUM;„≈“џ–≈;NUM nom - -;≈
14406;;или;»Ћ»;CONJ;;;Е раза четыре _или_ п€ть на ћельницу;и;л;и;;;;CONJ;»Ћ»;CONJ;»
14407;;п€ть;ѕя“№;NUM acc - -;;;раза четыре или _п€ть_ на ћельницу и;ь;т;€;п;;;NUM;ѕя“№;NUM acc - -;№
14408;;на;Ќј;PR;;;четыре или п€ть _на_ ћельницу и;а;н;;;;;PR;Ќј;PR;ј
14409;;ћельницу;ћ≈Ћ№Ќ»÷ј;S f anim acc sg;;;или п€ть на _ћельницу_ и чЄ-то;у;ц;и;н;ь;л;S;ћ≈Ћ№Ќ»÷ј;S m inan gen sg;ј
14410;;и;»;CONJ;;;п€ть на ћельницу _и_ чЄ-то;и;;;;;;CONJ;»;CONJ;»
14411;"<distinct form=""";;;;;;;;;;;;;;;;
14412;<dist>;чЄ-то;;;;;;;;;;;;;;;
14413;""">";;;;;;;;;;;;;;;;
14414;;что-то;„“ќ-“ќ;SPRO n inan nom sg;;;чЄ-то _что-то_ там раз;о;т;-;о;т;ч;SPRO;„“ќ-“ќ;S n - acc sg;ќ
14415;</distinct>;;;;;;;;;;;;;;;;
14416;;там;“јћ;ADV -;;;что-то _там_ раз или два;м;а;т;;;;ADV;“јћ;ADV -;ћ
14417;;раз;–ј«;S m inan acc sg;;;что-то там _раз_ или два на;з;а;р;;;;S;–ј«;S m inan acc sg;«
14418;;или;»Ћ»;CONJ;;;там раз _или_ два на “эм;и;л;и;;;;CONJ;»Ћ»;CONJ;»
14419;;два;ƒ¬ј;NUM acc m inan;;;там раз или _два_ на “эм √ринхилл;а;в;д;;;;NUM;ƒ¬ј;NUM acc m inan;ј
14420;;на;Ќј;PR;;;раз или два _на_ “эм √ринхилл ї;а;н;;;;;PR;Ќј;PR;ј
14421;;“эм;“Ёћ;S m anim acc sg;;;или два на _“эм_ √ринхилл ї .;м;э;т;;;;S;“Ёћ;S m inan loc sg;ћ
14422;;√ринхилл;√–»Ќ’»ЋЋ;S m anim acc sg;;;два на “эм _√ринхилл_ ї .;л;л;и;х;н;и;S;√–»Ќ’»ЋЋ;S m anim nom sg;Ћ
14423;;ї;ї;PUNCT;;;;;;;;;;PUNCT;;;
14424;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14425;;;;;;;;;;;;;;;;;
14426;# sent = 1116;;;;;;;;;;;;;;;;
14427;# speaker =  от;;;;;;;;;;;;;;;;
14428;# sent = 1117;;;;;;;;;;;;;;;;
14429;;я;я;SPRO sg 1p - nom;;;_я_ така€ Ц €;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14430;;така€;“ј ќ…;APRO - nom sg plen f -;;;я _така€_ Ц €;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14431;;Ц;Ц;PUNCT;;;;;;;;;;PUNCT;;;
14432;;€;я;SPRO sg 1p - nom;;;я така€ Ц _€_ н;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14433;"<distinct form=""";;;;;;;;;;;;;;;;
14434;<dist>;н;;;;;;;;;;;;;;;
14435;""">";;;;;;;;;;;;;;;;
14436;;на;Ќј;PART;;;н _на_ тт;а;н;;;;;PART;Ќј;PART;ј
14437;</distinct>;;;;;;;;;;;;;;;;
14438;"<distinct form=""";;;;;;;;;;;;;;;;
14439;<dist>;тт;;;;;;;;;;;;;;;
14440;""">";;;;;;;;;;;;;;;;
14441;;тот;“ќ“;APRO - acc sg plen m inan;;;тт _тот_ момент про;т;о;т;;;;APRO;“ќ“;A - acc sg plen m inan;“
14442;</distinct>;;;;;;;;;;;;;;;;
14443;;момент;ћќћ≈Ќ“;S m inan acc sg;;;тот _момент_ про “эм вообще;т;н;е;м;о;м;S;ћќћ≈Ќ“;S m inan acc sg;“
14444;;про;ѕ–ќ;PR;;;тот момент _про_ “эм вообще;о;р;п;;;;PR;ѕ–ќ;PR;ќ
14445;;“эм;“Ёћ;S m anim loc sg;;;момент про _“эм_ вообще ничЄ;м;э;т;;;;S;“Ёћ;S m inan loc sg;ћ
14446;;вообще;¬ќќЅў≈;ADV -;;;момент про “эм _вообще_ ничЄ;е;щ;б;о;о;в;ADV;¬ќќЅў≈;ADV -;≈
14447;"<distinct form=""";;;;;;;;;;;;;;;;
14448;<dist>;ничЄ;;;;;;;;;;;;;;;
14449;""">";;;;;;;;;;;;;;;;
14450;;ничего;Ќ»„≈√ќ;ADV -;;;ничЄ _ничего_ не слышала;о;г;е;ч;и;н;ADV;Ќ»„≈√ќ;ADV -;ќ
14451;</distinct>;;;;;;;;;;;;;;;;
14452;;не;Ќ≈;PART;;;ничего _не_ слышала Ц;е;н;;;;;PART;Ќ≈;PART;≈
14453;;слышала;—ЋџЎј“№;V ipf praet sg indic f -;;;ничего не _слышала_ Ц тка€;а;л;а;ш;ы;л;V;—ЋџЎј“№;V ipf praet sg indic f -;№
14454;;Ц;Ц;PUNCT;;;;;;;;;;PUNCT;;;
14455;"<distinct form=""";;;;;;;;;;;;;;;;
14456;<dist>;тка€;;;;;;;;;;;;;;;
14457;""">";;;;;;;;;;;;;;;;
14458;;така€;“ј ќ…;APRO - nom sg plen f -;;;тка€ _така€_ Ђ ну;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14459;</distinct>;;;;;;;;;;;;;;;;
14460;;Ђ;Ђ;PUNCT;;;;;;;;;;PUNCT;;;
14461;;ну;Ќ”;PART;;;така€ Ђ _ну_ , не знаю;у;н;;;;;PART;Ќ”;PART;”
14462;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14463;;не;Ќ≈;PART;;;Ђ ну , _не_ знаю ї ,;е;н;;;;;PART;Ќ≈;PART;≈
14464;;знаю;«Ќј“№;V ipf praes sg indic - 1p;;;ну , не _знаю_ ї , сказала;ю;а;н;з;;;V;«Ќј“№;V ipf praes sg indic - 1p;№
14465;;ї;ї;PUNCT;;;;;;;;;;PUNCT;;;
14466;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14467;;сказала;— ј«ј“№;V pf praet sg indic f -;;;знаю ї , _сказала_ , что €;а;л;а;з;а;к;V;— ј«ј“№;V pf praet sg indic f -;№
14468;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14469;;что;„“ќ;CONJ;;;, сказала , _что_ € токо;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
14470;;€;я;SPRO sg 1p - nom;;;сказала , что _€_ токо;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14471;"<distinct form=""";;;;;;;;;;;;;;;;
14472;<dist>;токо;;;;;;;;;;;;;;;
14473;""">";;;;;;;;;;;;;;;;
14474;;только;“ќЋ№ ќ;PART;;;токо _только_ знаю одного;о;к;ь;л;о;т;PART;“ќЋ№ ќ;PART;ќ
14475;</distinct>;;;;;;;;;;;;;;;;
14476;;знаю;«Ќј“№;V ipf praes sg indic - 1p;;;только _знаю_ одного эльфа ,;ю;а;н;з;;;V;«Ќј“№;V ipf praes sg indic - 1p;№
14477;;одного;ќƒ»Ќ;ANUM - acc sg plen m anim;;;только знаю _одного_ эльфа , которого;о;г;о;н;д;о;ANUM;ќƒ»Ќ;A - acc sg plen m anim;Ќ
14478;;эльфа;ЁЋ№‘;S m anim acc sg;;;знаю одного _эльфа_ , которого Е;а;ф;ь;л;э;;S;ЁЋ№‘;S m anim acc sg;‘
14479;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14480;;которого; ќ“ќ–џ…;APRO - acc sg plen m -;;;одного эльфа , _которого_ Е ааэ Е;о;г;о;р;о;т;APRO; ќ“ќ–џ…;A - gen sg plen m -;…
14481;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14482;;ааэ;јјЁ;INTJ;;;, которого Е _ааэ_ Е ну;э;а;а;;;;INTJ;јјЁ;S m inan loc sg;Ё
14483;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14484;;ну;Ќ”;PART;;;Е ааэ Е _ну_ кб;у;н;;;;;PART;Ќ”;PART;”
14485;"<distinct form=""";;;;;;;;;;;;;;;;
14486;<dist>;кб;;;;;;;;;;;;;;;
14487;""">";;;;;;;;;;;;;;;;
14488;;как бы;как бы;PART;;;кб _как бы_ , у;ы;б;;к;а;к;PART;как бы;ADV -;ы
14489;</distinct>;;;;;;;;;;;;;;;;
14490;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14491;;у;”;PR;;;как бы , _у_ него такое насто€щее;у;;;;;;PR;”;PR;”
14492;;него;ќЌ;SPRO sg 3p m gen;;;, у _него_ такое насто€щее им€;о;г;е;н;;;SPRO;ќЌ;SPRO sg 3p m acc;Ќ
14493;;такое;“ј ќ…;APRO - nom sg plen n -;;;, у него _такое_ насто€щее им€ ,;е;о;к;а;т;;APRO;“ј ќ…;A - nom sg plen n -;…
14494;;насто€щее;Ќј—“ќяў»…;A - nom sg plen n inan;;;у него такое _насто€щее_ им€ , вот;е;е;щ;€;о;т;A;Ќј—“ќяў»…;A - acc sg plen n inan;…
14495;;им€;»ћя;S n inan nom sg;;;него такое насто€щее _им€_ , вот ,;€;м;и;;;;S;»ћя;S n inan acc sg;я
14496;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14497;;вот;¬ќ“;PART;;;насто€щее им€ , _вот_ , на его;т;о;в;;;;PART;¬ќ“;PART;“
14498;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14499;;на;Ќј;PR;;;, вот , _на_ его €зыке .;а;н;;;;;PR;Ќј;PR;ј
14500;;его;≈√ќ;APRO;;;вот , на _его_ €зыке .;о;г;е;;;;APRO;≈√ќ;A - nonflex - plen - -;ќ
14501;;€зыке;я«џ ;S m inan loc sg;;;, на его _€зыке_ .;е;к;ы;з;€;;S;я«џ ;S m inan loc sg; 
14502;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14503;;;;;;;;;;;;;;;;;
14504;# sent = 1118;;;;;;;;;;;;;;;;
14505;;¬от;¬ќ“;PART;;;. _¬от_ .;т;о;в;;;;PART;¬ќ“;PART;“
14506;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14507;;;;;;;;;;;;;;;;;
14508;# sent = 1119;;;;;;;;;;;;;;;;
14509;;’от€;’ќ“я;CONJ;;;. _’от€_ его все зовут;€;т;о;х;;;CONJ;’ќ“я;CONJ;я
14510;;его;ќЌ;SPRO sg 3p m acc;;;’от€ _его_ все зовут –убака;о;г;е;;;;SPRO;ќЌ;SPRO sg 3p m acc;Ќ
14511;;все;¬—≈;S - - nom pl;;;’от€ его _все_ зовут –убака ,;е;с;в;;;;S;¬—≈;S - - nom pl;≈
